@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,8-weka.filters.unsupervised.attribute.Remove-R8'

@attribute dianyayusheding numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaosheding numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute dianliuxiaolv numeric

@data
4,949,2.62,25,260,160,91.503998
4,949,2.58,15,260,200,95.290001
4.01,951,2.48,10,260,180,91.503998
4.01,949,2.48,10,245,180,91.503998
4,946,2.58,0,265,210,95.290001
4,952,2.58,25,240,200,91.503998
4,951,2.62,15,255,190,91.503998
4,950,2.46,15,240,160,95.290001
4.025,956,2.6,14,270,200,92.135002
4,952,2.64,25,235,150,91.503998
4,950,2.6,15,255,220,95.920998
4.025,955,2.34,12,280,170,88.348
4.025,956,2.34,10,280,200,90.241997
4.01,949,2.52,10,260,200,91.503998
4,950,2.62,10,240,160,95.290001
4.01,950,2.56,10,255,150,91.503998
4,947,2.58,20,260,200,91.503998
4,952,2.54,25,235,150,91.503998
4,950,2.56,0,240,160,91.503998
4.01,938,2.46,10,265,230,95.290001
4,948,2.56,15,270,200,91.503998
4.03,954,2.44,8,265,210,90.241997
4.01,950,2.62,15,250,220,89.611
3.995,953,2.5,20,240,210,91.503998
4.01,944,2.48,10,270,190,95.290001
4,955,2.58,25,245,200,91.503998
4.01,952,2.56,20,245,220,89.611
4.01,952,2.5,15,245,200,91.503998
4.01,947,2.5,10,265,210,91.503998
4,951,2.56,25,250,200,95.290001
4.01,944,2.56,10,245,200,95.290001
4,955,2.58,20,270,190,91.503998
4.01,945,2.56,10,255,180,91.503998
4.004,955,2.52,15,240,150,89.611
4,946,2.6,15,250,210,95.920998
4.01,947,2.5,10,265,190,95.290001
4.01,951,2.24,10,280,190,91.503998
4.007,955,2.6,14,270,220,95.920998
4.01,951,2.46,15,265,210,95.290001
4.01,949,2.5,10,255,190,95.290001
4,950,2.5,10,265,210,91.503998
4,944,2.58,15,245,200,95.290001
4.01,941,2.52,15,230,180,91.503998
4,954,2.6,14,265,200,95.920998
4,952,2.56,25,255,180,91.503998
4.015,949,2.6,10,270,200,92.135002
4,953,2.62,25,230,170,91.503998
4,948,2.5,10,250,210,95.290001
4,950,2.56,15,260,180,91.503998
3.995,946,2.5,20,260,170,91.503998
4,952,2.66,25,260,190,91.503998
3.995,952,2.58,20,265,210,91.503998
4,949,2.62,15,235,180,95.290001
4.01,950,2.56,10,260,200,95.290001
4.01,957,2.5,15,260,190,91.503998
4.01,954,2.52,15,245,180,95.290001
4,943,0,25,235,160,95.290001
4,949,2.5,10,265,210,95.290001
4.01,953,2.62,20,250,200,89.611
4.01,954,2.5,20,255,190,91.503998
4,947,2.54,15,250,180,95.920998
4,952,2.66,25,230,150,91.503998
4,954,2.62,20,250,190,95.290001
4.01,949,2.5,10,265,180,91.503998
4,955,2.56,20,250,180,95.290001
4,949,2.56,15,250,180,95.290001
4,947,2.56,15,250,190,91.503998
4.025,957,2.58,12,265,130,92.135002
4.025,957,2.6,14,265,210,90.241997
4,947,2.5,10,250,160,95.290001
4.01,947,2.46,10,270,200,91.503998
4,947,2.6,15,260,210,95.920998
4.01,947,2.52,15,270,170,91.503998
4,951,2.5,10,265,190,91.503998
3.995,948,2.46,20,255,220,91.503998
4.01,949,2.52,15,270,180,91.503998
4.01,949,2.46,10,260,190,91.503998
4,949,2.54,5,250,200,95.920998
4.01,948,2.56,10,260,200,91.503998
4.01,950,2.46,15,265,200,95.290001
4.01,950,2.46,10,265,180,91.503998
4,952,2.58,25,240,150,95.290001
4,953,2.6,14,265,200,92.135002
4,951,2.64,25,235,160,95.290001
4,948,2.58,25,245,160,95.290001
3.995,953,2.64,20,250,200,95.290001
4,951,2.58,20,275,180,91.503998
4.01,948,2.46,10,265,170,95.290001
4.025,955,2.34,12,275,180,88.348
4,948,2.54,10,260,210,91.503998
4.01,952,2.48,15,255,210,91.503998
4,947,2.1,0,245,190,91.503998
4,946,2.54,25,240,210,95.290001
4.01,952,2.24,15,260,130,95.290001
3.995,952,2.5,25,245,200,95.290001
3.998,947,2.58,15,270,180,95.290001
4.005,954,2.62,20,250,180,91.503998
4.01,946,2.46,10,250,190,91.503998
4,945,2.54,25,230,180,95.290001
4,955,2.46,25,245,180,95.290001
4.01,948,2.56,10,250,180,95.290001
4,954,2.56,15,265,200,91.503998
4,947,2.62,25,260,190,91.503998
4,949,2.5,20,260,190,95.290001
4.01,949,2.48,10,245,200,95.290001
4,943,2.56,25,245,180,95.290001
4,947,2.58,10,265,150,95.290001
4,944,2.58,10,265,200,91.503998
4,948,2.5,10,255,160,95.290001
4.01,951,0,15,260,170,95.290001
4,947,2.64,25,245,210,95.290001
4,947,2.56,20,230,180,97.182999
4,954,2.54,15,250,190,92.135002
4,953,2.66,25,260,200,91.503998
4.027,952,2.34,10,270,200,90.241997
4.01,938,2.52,0,265,190,95.290001
4.01,949,2.46,0,285,210,91.503998
3.995,949,2.58,15,270,170,91.503998
4,947,2.46,20,240,220,95.290001
4.01,948,2.48,10,250,190,95.290001
4,946,2.58,15,250,200,95.290001
4.01,955,2.56,20,250,180,91.503998
4,951,2.1,10,230,180,89.611
4,948,2.58,10,265,140,95.290001
4,951,2.1,20,240,200,91.503998
4,949,2.66,25,255,200,91.503998
4.01,950,2.52,10,245,170,91.503998
4,949,2.56,25,230,160,95.290001
4,943,2.72,25,240,220,95.290001
4,948,2.56,20,230,180,95.290001
4,951,2.66,25,245,190,91.503998
4.01,952,2.52,15,245,200,91.503998
4.025,956,2.34,12,265,200,88.348
4.01,950,2.48,10,260,200,91.503998
4,951,2.46,15,240,170,95.290001
3.995,949,2.64,20,255,220,91.503998
4.01,950,2.48,10,265,210,91.503998
4,943,2.72,25,240,220,95.290001
3.995,944,2.52,15,260,210,93.397003
4,949,2.46,20,230,180,91.503998
4,954,2.46,25,240,210,91.503998
4.01,939,2.46,10,265,210,95.290001
4,949,2.54,25,250,190,91.503998
4,950,2.54,25,235,180,91.503998
4,956,2.58,25,240,190,91.503998
4,950,2.66,25,250,190,91.503998
4,950,2.54,25,255,190,91.503998
4.01,952,2.46,10,250,220,91.503998
4,948,2.58,20,255,180,91.503998
3.995,949,2.46,20,250,180,91.503998
4,948,2.58,15,260,210,95.290001
4,951,2.58,25,235,190,95.290001
4.01,954,2.48,15,260,210,91.503998
4.019,949,2.6,10,265,230,92.135002
4.01,947,2.56,0,265,220,91.503998
4.01,935,2.52,0,270,190,91.503998
4.002,955,2.6,14,270,220,95.920998
4.01,951,2.6,10,270,180,95.920998
4.01,951,2.54,15,230,150,91.503998
4,955,2.56,25,260,180,91.503998
4.012,950,2.6,10,270,210,95.920998
4.01,952,2.54,15,260,190,91.503998
4.005,954,2.6,14,260,150,95.920998
4,952,2.46,20,225,190,91.503998
4,949,2.62,25,230,170,91.503998
4.01,946,2.48,10,260,190,91.503998
4,951,2.66,25,250,180,95.290001
4.03,953,2.34,8,275,220,90.241997
4.01,950,2.54,15,260,190,91.503998
4,949,2.1,0,235,180,91.503998
4,948,2.3,20,240,220,91.503998
4,954,2.68,10,235,150,91.503998
4.01,949,2.6,20,245,220,91.503998
4,941,2.5,15,235,130,91.503998
4.01,948,2.54,25,265,190,91.503998
4.01,943,2.54,15,250,220,91.503998
4,951,2.54,20,245,210,91.503998
4,954,2.7,20,240,220,89.611
4,943,2.64,10,260,170,95.290001
4,940,2.6,20,250,200,95.290001
